Salary,Salary
Loan,Loan
LIC Premium,LICPremium
Car Fuel/Car Maintenance,"CarFuel,CarMaintenance"
Income Tax/Property Tax,"IncomeTax,PropertyTax"
Kolkata asha jaoa,Traveltohomecity
Food,Food
Rent+Maintenance / House Repair,"HouseRepair,Rent_Maintenance"
Domestic Help,DomesticHelp
Phone/Electricity/Internet/Cable/Newspaper,"Cable,Electricity,Internet,Newspaper,Phone"
Gas,Gas
Family Responsibilities,Familyresponsibilities
Health,Health
Household items,Householditems
Aparrel,Aparrel
New Car,Newcar
Onnoprason,Onnoprason
House Transfer expenses,HouseTransferexpenses
Baby,Baby
Baby2,Baby2
Child's education,Childseducation
Child's education2,Childseducation2
Pregnancy,Pregnancy
Delivery,Delivery
Charity,Charity
Books,Books
A beauty expenses + Haircuts,"A_Beauty_Expenses,Haircuts"
Other spend,Miscellaneous
